label,inc,azi
Fp1,-92,-72
AF7,-92,-52
AF3,-74,-67
F1,-50,-68
F3,-60,-51
F5,-75,-41
F7,-92,-36
FT7,-92,-18
FC5,-71,-21
FC3,-50,-28
FC1,-32,-45
C1,-23,0
C3,-46,0
C5,-69,0
T7,-92,0
TP7,-92,18
CP5,-71,21
CP3,-50,28
CP1,-32,45
P1,-50,68
P3,-60,51
P5,-75,41
P7,-92,36
P9,-115,47
PO7,-92,54
PO3,-74,67
O1,-92,72
Iz,115,-90
Oz,92,-90
POz,69,-90
Pz,46,-90
CPz,23,-90
Fpz,92,90
Fp2,92,72
AF8,92,52
AF4,74,67
AFz,69,90
Fz,46,90
F2,50,68
F4,60,51
F6,75,41
F8,92,36
FT8,92,18
FC6,71,21
FC4,50,28
FC2,32,45
FCz,23,90
Cz,0,0
C2,23,0
C4,46,0
C6,69,0
T8,92,0
TP8,92,-18
CP6,71,-21
CP4,50,-28
CP2,32,-45
P2,50,-68
P4,60,-51
P6,75,-41
P8,92,-36
P10,115,-47
PO8,92,-54
PO4,74,-67
O2,92,-72
PO9,-115,68
PO10,115,-68
F9,-115,-35
F10,115,35
IO1,-125,-63
IO2,125,63
M1,-120,25
M2,120,-25
